simulation,placebo_mean_R
324,0.2073560137986273
325,0.22005050921226696
326,0.26080915001020827
327,0.18818419559571228
328,0.26159587211596336
329,0.23857289216757144
330,0.2373580909929984
331,0.23376560695830076
332,0.2635701126749426
333,0.20588367807750374
334,0.18865619390058755
335,0.19004128383154098
336,0.2160347256695207
337,0.22891050263471577
338,0.23874318092395183
339,0.22799854506750586
340,0.21650692308131497
341,0.21337871610399298
342,0.22234755671043027
343,0.2143351110446065
344,0.23293940290725287
345,0.26159587211596336
346,0.17033522703183235
347,0.1971978180202554
348,0.22245493703559432
349,0.2407447042042799
350,0.23857289216757144
351,0.19996686382329393
352,0.22234755671043027
353,0.25942406007925484
354,0.21977164474871777
355,0.2305975735909837
356,0.22245493703559432
357,0.14250496187416975
358,0.22519278313856328
359,0.18164589695453878
360,0.20952782583533577
361,0.19971528208109363
362,0.21526720314681028
363,0.2617211075774182
364,0.1822946640628514
365,0.24525722894449165
366,0.24663423573714083
367,0.22245493703559432
368,0.23572766573943837
369,0.19971528208109363
370,0.20588367807750374
371,0.23376560695830076
372,0.2694869269291524
373,0.24714571598730892
374,0.25165015758921644
375,0.17997748202969416
376,0.24539451580263616
377,0.2042152631526591
378,0.23885621716146263
379,0.2192637871065119
380,0.17499275987768814
381,0.24631951193626098
382,0.22115673467967123
383,0.2444624237004324
384,0.2412289017330991
385,0.19779505178658546
386,0.27727302864313486
387,0.195812728089302
388,0.156671793008933
389,0.2046928560467447
390,0.24539451580263616
391,0.20796529896164706
392,0.1981097755874653
393,0.26139830063823416
394,0.23293940290725287
395,0.2215228449333905
396,0.26278339056918754
397,0.23376560695830076
398,0.1950260059835469
399,0.22369465697009905
400,0.1822946640628514
401,0.23874318092395183
402,0.2407447042042799
403,0.2178786971755585
404,0.26731511489244386
405,0.24710623404201607
406,0.2794448406798433
407,0.24201562383885422
408,0.23158664673523732
409,0.264955202605896
410,0.22893063716970966
411,0.2535072458250451
412,0.2544081382271793
413,0.25489233575599846
414,0.1726322745299957
415,0.24931752802401744
416,0.22392578048270975
417,0.2114898846164735
418,0.2042152631526591
419,0.25489233575599846
420,0.20650516246446748
421,0.23668440512475417
422,0.19364091605259356
423,0.22799854506750586
424,0.24931752802401744
425,0.19595809808575076
426,0.20330776611579124
427,0.195812728089302
428,0.26389291961412664
429,0.22799854506750586
430,0.1937984678268838
431,0.2023712916466213
432,0.19364091605259356
433,0.20777216512032104
434,0.2530230482962259
435,0.22143559914322042
436,0.1867991056647589
437,0.23657136888724334
438,0.22784879270409095
439,0.22754554723875622
440,0.22834446856845525
441,0.2530230482962259
442,0.18090957413189795
443,0.2365143878451935
444,0.23718780223661798
445,0.23657136888724334
446,0.2635701126749426
447,0.1937984678268838
448,0.1945730081547973
449,0.25580429332320836
450,0.21425893041951197
451,0.2114898846164735
452,0.19595809808575076
453,0.26997112445797156
454,0.19687005565296065
455,0.2735280264256335
456,0.23020155680428392
457,0.25165015758921644
458,0.23376560695830076
459,0.2143351110446065
460,0.24525722894449165
461,0.2082881059008311
462,0.21650692308131497
463,0.18914093498102805
464,0.21244662400178924
465,0.2393596142733265
466,0.2155187848890106
467,0.19821715591262934
468,0.24710623404201607
469,0.19004128383154098
470,0.18040617702003411
471,0.2721429364946801
472,0.22893063716970966
473,0.2617211075774182
474,0.20952782583533577
475,0.22567698066738248
476,0.26139830063823416
477,0.21366169665318197
478,0.1971978180202554
479,0.2794448406798433
480,0.21010479468552004
481,0.22234755671043027
482,0.2093503888926005
483,0.26997112445797156
484,0.19821715591262934
485,0.2298425947369195
486,0.22893063716970966
487,0.21366169665318197
488,0.24340071376980757
489,0.24201562383885422
490,0.26389291961412664
491,0.18214929406640262
492,0.24714571598730892
493,0.23611837105849373
494,0.2721429364946801
495,0.24525722894449165
496,0.217104156847645
497,0.17997748202969416
498,0.2530352475201698
499,0.2522363261904708
500,0.20588367807750374
501,0.2530230482962259
502,0.26997112445797156
503,0.21417763743369203
504,0.2192637871065119
505,0.24742904098120014
506,0.23108231467142423
507,0.2093503888926005
508,0.20371186604079522
509,0.257064147792707
510,0.2334428000191167
511,0.2093503888926005
512,0.2305975735909837
513,0.21227660672222853
514,0.1977137588007655
515,0.20796529896164706
516,0.22754554723875622
517,0.22245493703559432
518,0.23611837105849373
519,0.21653812278138457
520,0.23076759087054435
521,0.2219515399237305
522,0.2082881059008311
523,0.22661345513655243
524,0.22784879270409095
525,0.2230209711018548
526,0.2522363261904708
527,0.21927596888435352
528,0.24931752802401744
529,0.2216287329845464
530,0.234342575808485
531,0.1763778498086416
532,0.22384002696654773
533,0.2004702609351578
534,0.19821715591262934
535,0.22507974690105245
536,0.26080915001020827
537,0.1794740849178303
538,0.2042152631526591
539,0.23482788995007015
540,0.24805052536816385
541,0.24631951193626098
542,0.22115673467967123
543,0.2114898846164735
544,0.24710623404201607
545,0.21643074245622046
546,0.2412289017330991
547,0.2073560137986273
548,0.21643074245622046
549,0.18090957413189795
550,0.2407447042042799
551,0.19687005565296065
552,0.18353438399735605
553,0.19364091605259356
554,0.23127098798240822
555,0.15616839589706913
556,0.21295002111365305
557,0.2735280264256335
558,0.27727302864313486
559,0.26080915001020827
560,0.22290793486434393
561,0.234342575808485
562,0.2794448406798433
563,0.18914093498102805
564,0.2735280264256335
565,0.25258224969142024
566,0.2396551384911617
567,0.17033522703183235
568,0.2635701126749426
569,0.21010479468552004
570,0.18630342980039458
571,0.17033522703183235
572,0.22891050263471577
